,count
выпуска,3863
модель,3228
двигателя,2274
номер,2119
год,2045
автомобиля,1982
тс,1953
цвет,1915
автомобиль,1634
знак,1205
птс,1184
шасси,1151
lada,1106
года,1094
кузова,974
регистрационный,938
тип,902
от,773
грузовой,739
машины,726
двигатель,632
регистрации,624
гос,598
benz,581
кузов,578
mercedes,553
легковой,528
рама,515
заводской,513
наименование,500
маркамодель,487
белый,485
рамы,484
государственный,480
свидетельство,443
паспорт,430
изготовления,425
самосвал,423
vin,415
марка,410
toyota,395
средства,385
тягач,380
транспортного,380
серия,370
марки,368
отсутствует,360
мощность,354
полуприцеп,346
выдан,343
стоимость,338
hyundai,338
седельный,329
передач,319
см,308
страна,306
квт,304
объем,299
камаз,294
kia,291
псм,284
трактор,278
volkswagen,273
изготовитель,267
коробка,266
изгот,248
рег,244
категория,243
ford,239
nissan,235
на,235
черный,232
мост,229
рабочий,228
прицеп,221
форд,220
кабинаприцеп,219
комбайн,219
белаз,209
двигателял,208
matic,204
ведущий,202
масса,200
зав,199
фургон,195
двигателякуб,189
синий,186
маз,186
не,184
renault,182
зерноуборочный,181
организация,181
mitsubishi,175
инвентарный,172
кабиныприцепа,171
газ,171
volvo,171
chevrolet,170
land,169
без,161
bmw,161
основной,158
ве,153
ооо,153
отсутствуетцвет,152
серый,148
экскаватор,147
granta,145
выдано,143
карьерный,142
рублей,141
максимальная,137
самоходной,137
серебристый,135
кг,134
выпускацвет,132
рублейзалоговая,131
погрузчик,130
бортовой,130
дата,128
красный,125
mazda,124
идентификационный,123
россия,123
организ,121
daewoo,120
отсутствуеткузов,119
желтый,118
рсм,117
автобус,113
беларус,112
ваз,109
rus,109
cruiser,108
rio,108
audi,108
зеленый,104
темно,104
куб,103
ямз,101
john,101
мосты,101
opel,101
массакг,97
тдтпо,97
ws,96
фокусгод,96
ма,95
са,95
kiakia,95
cdi,94
легковойв,94
deere,93
по,92
honda,91
lexus,91
кузовкабина,91
ст,91
колесный,91
skoda,90
движителя,87
свидетельства,86
оранжевый,86
гибдд,86
rover,84
тт,83
жатка,83
нагрузки,83
ет,83
truck,82
iveco,81
ml,81
выдачи,80
кабины,80
ув,80
нк,79
машина,78
priora,78
коляска,78
solaris,78
ун,77
