id,text
1,"автомобиль Honda CR-V2003 года выпуска№ двигателя K20A4 3003199шасси (рама), № - не установленкузов № SHSRD887040203152цвет кузова - белый (темно-серый)мощность двигателял.с. (кВт) - 150 л.с.110 кВтрабочий объем двигателякуб. см - 1998ПТС 39 ТР 405688 выдан 05.11.2008 г. Калининградской областной таможней"
2,ДЖИП ГРАНД ЧИРОКИ2000 года выпуска.
3,HYUNDAI SM (Santa Fe classic) 2008 года выпуска
4,BMW 520D
5,Грузовой-тягач специальный2012 г.в.гос. номер С458РМ69марка 6796-03 на шасси VOLVO FНмодель № двиг. D13 023944шасси YV2ASW0A36B437889цвет желтыймощность двиг. 480 л.с.раб. V двиг. 12780 куб.см.разрешенная макс. масса 18000 кг.масса без нагрузки 7500 кг.страна Россия
6,ТракторБеларус  2022.32013 года выпуска регистрационный номер 30 АР 9375ПСМ - ТТ 452861 от 11 апреля 2014 года№ двигателя 119770 коробка передач № 062966основной ведущий мост № 4421  (11695) заводской номер машины  (рама)  20101226
7,Зерноуборочный комбайн  РСМ -10Б ДО Н-1 500Б2007 г.в.зав№ 097372 двигатель № 70322957мост 681-06 ПСМ ВВ 719264рег.знак 55 ОХ 9304 ; Зерноуборочный комбайн  РСМ -10Б ДО Н-1 500Б2006 г.в.зав.№ 094955 двигатель № 60285141мост 2781 ПСМ ВВ 530640рег.знак 55 ОХ 9315 ; Трактор Белаус-82.12008 г.в.зав.№ 80875955 двигатель № 395878мост 288538-04 ПСМ ТС 230329рег.знак 55 ОХ 9302 ; Трактор колесный NEW HOLLAND Т80402007 г.в.зав.№ Z7RW03713 двигатель № 46761566мост отсутствует ПС
8,Марка Модель  SKODA   OCTAVIA  Наименование  (тип ТС)  ЛЕГКОВОЙВ год выпуска 2012 тип№ двигателя БЕНЗИНОВЫЙ НА БЕНЗИНЕCDA 334858 кузовкабина XW8CK41Z0DK224749 цвет БЕЖЕВЫЙ Мощность двигателя л.с.  (кВт)  152  (112)  Рабочий объем двигателя куб.см 1798 Организация- изготовитель ТС  (страна)  ООО  ФОЛЬКСВАГЕН  ГРУП РУС  (РОССИЯ)  Серия№ТДТПО отсутствует ПТС 40 НО №350758 от 22.07.2012 г.
9,Марка Модель  KIA  DE (JB/ Rio ) Наименование  (тип ТС)  ЛЕГКОВОЙВ год выпуска 2011 тип№ двигателя БЕНЗИНОВЫЙG4EE AH418313 кузовкабина XWEDH511BB0009986 цвет Серебристый Мощность двигателя л.с.  (кВт)  95  (699)  Рабочий объем двигателя куб.см 1399 Организация- изготовитель ТС  (страна)  ООО ЭЛ ЛАДА  ИНТЕРТРЕЙД  (Россия)  Серия№ТДТПО отсутствует ПТС 39 НЕ №251892 от 17.04.2011 г.
10,ЛЕГКОВОЙ  МЕРСЕДЕС  ПТС 77 УВ 872495 МАРКА МОДЕЛЬ-MERCTDES-BENZ ML 35D 4 MATIC Год выпуска-2012 Модель. № двигателя-27695530255333 Цвет- БЕЛЫЙ Св-во о регистрации ТС-72 КУ № 460414 Регистрационный знак-У 777 ВМ 72
