id|notificationreferencenumber|vehicleproperty_vin|vehicleproperty_description_short|nBody|nChas|BrandModel|BrandModel2|BrandModel3|Brand|Brand2
1|2014-000-000001-888|SJNFAAJ10U2648684|Автомобиль||||||NISSAN|
21|2014-000-000004-443|Y7A64430060802279|а/м КРАЗ 6443-0000080-022006 г.в.ПТС 50 ТТ 044784регистрационный знак В035НО11объем двигателя 14860 см3.||||KRAZ OTHER|KRAZ OTHER|KRAZ|
23|2014-000-000004-443||Полуприцеп тяжеловоз ЧМЗАП-99901991 г.в.ПТС 59 МА 385569регистрационный знак МК790411.|||||CHMZAP OTHER||
25|2014-000-000005-728|JMZBK12F681713003|марка MAZDA 32007 года выпуска№ кузова JMZBK12F681713003№ шасси отсутствуетцвет серебристый№ двигателя LF 10473621г/н А830АМ124||||||FORD|
26|2014-000-000006-281|XTA217230E0258955|ВАЗ 217230|||||LADA OTHER|ATLETIC|
27|2014-000-000007-583|XWFSC9CC1C0001209|автомашина OPEL Meriva 2012 года выпуска|||OPEL MERIVA|||CADILLAC|
28|2014-000-000008-548|JTMHT05J705097647|Toyota Land Cruiser 200легковой2012 г.вцвет золотистыйбез повреждений|||TOYOTA LAND CRUISER PRADO 120|||TOYOTA|
29|2014-000-000009-184|XTA11193070022036|ВАЗ-11193 LADA KALINA 2007 г.в.цвет - серебристыйПТС: 63 ММ 388081 выдан 17.04.2007г. ОАО АВТОВАЗ|||||LADA OTHER|ATLETIC|
31|2014-000-000010-270|22333444455555000|Автомобиль|||||||
34|2014-000-000013-599||bvv|||||||
35|2014-000-000012-897|SHSRD887040203152|автомобиль Honda CR-V2003 года выпуска№ двигателя K20A4 3003199шасси (рама) № - не установленкузов № SHSRD887040203152цвет кузова - белый (темно-серый)мощность двигателял.с. (кВт) - 150 л.с.110 кВтрабочий объем двигателякуб. см - 1998ПТС 39 ТР 405688 выдан 05.11.2008 г. Калининградской областной таможней||||||HONDA|
38|2014-000-000015-236|3N1BCAC11UK555315|АВТОМОБИЛЬ NISSAN TIIDA||||||NISSAN|
50|2014-000-000025-435|XUFJF686JC3080988|CHEVROLET KL1J 2012 года выпуска||||||CADILLAC|
51|2014-000-000026-921|1J4GW58S9YC211573|ДЖИП ГРАНД ЧИРОКИ2000 года выпуска.|||||JEEP OTHER|CHRYSLER|
52|2014-000-000027-233|X7LHSRH8548063005|RENAULT DUSTER 2012 года выпуска||||||RENAULT|
53|2014-000-000028-012|X7MSC81VP8A012154|HYUNDAI SM (Santa Fe classic) 2008 года выпуска||||||BYD|
54|2014-000-000029-313|SJNFBNJ10U1286825|НИССАН QASHQAI 2.0 TEKNA PACK 2008 года выпуска|||NISSAN QASHQAI|NISSAN OTHER|NISSAN OTHER|NISSAN|
55|2014-000-000031-563|JMZGG14F251276038|MAZDA 6 2005 года выпуска|||MAZDA 6|||FORD|
56|2014-000-000032-509|WBAFW11030C637456|BMW 520D||||||BMW|
57|2014-000-000033-179|KL1NF486J8K313409|ШЕВРОЛЕ LACETTI 2008 года выпуска||||CHEVROLET OTHER|CHEVROLET OTHER|CHEVROLET|
58|2014-000-000034-504|SJNBAAP12U2276849|NISSAN PRIMERA 1.6 ELEGANCE 2005 года выпуска||||||NISSAN|
59|2014-000-000037-502|X4XNU55459CZ36665|BMW 525i 2008 года выпуска||||||ASIA|
60|2014-000-000037-502|WV2ZZZ7HZ8H138009|VOLKSWAGEN TRANSPORTER T5 TDI2008 года выпска||||||VOLKSWAGEN|
61|2014-000-000038-967|WDD2211861A151106|MERCEDES-BENZ S 500 4MATIC||||||MERCEDES-BENZ|
62|2014-000-000030-611|YV1DZ8156E2567215|VOLVO XC60 2013 года выпуска|||VOLVO XC60|||VOLVO|
63|2014-000-000039-902|JTJHW31UX02058493|LEXUS RX400H||||||LEXUS|
64|2014-000-000040-793|XTA21093023141367|автомобиль марки ВАЗ 21093легковые прочиегод выпуска 2001государственный регистрационный знак - У181ХО18идентификационный номер (VIN) ХТА21093023141367модель № двигателя 21113268606шасси № ---кузов № 3141367цвет серебристо - зеленый|||||LADA OTHER|ATLETIC|
66|2014-000-000042-657|X4XVA98457VB43298|Автомобиль.модельмарка : BMW320iгод выпуска 2007номер двигателя N46B20BFB161Y944номер кузова VB43298цвет черный||||||ASIA|
67|2014-000-000043-096|NP3DRDF35C1025241|Полуприцеп-цистерна OZGUL OZ-35|||||||
68|2014-000-000044-031|XTA21144074505735|автомобиль марки ВАЗ - 21144 LADA SAMARAлегковойгод выпуска 2007государственный регистрационный знак - М172ХО18идентификационный номер (VIN) ХТА21144074505735; модель№ двигателя 111834739828шасси № отсутствуеткузов №ХТА21144074505735цвет светло-серебристый металл|||||LADA OTHER|ATLETIC|
